"effect","variable","mean","lower","upper"
"young","gdp_p",0.0932180065505693,-0.000222957550752694,0.185703211348676
"mid","gdp_p",0.0248593082451174,-0.0739508932453879,0.12552648105375
"old","gdp_p",-0.0680026352563281,-0.154215602692673,0.0187049984171437
"popgrowth","gdp_p",0.105427470637844,-0.112444055304742,0.391717050430373
"immigrant","gdp_p",-0.0500746795393586,-0.159353727494492,0.0590224491266267
"young","cpi",0.0752086278149036,-0.0941947232559664,0.332600739488375
"mid","cpi",-0.114624750269448,-0.390298614022724,0.0926922625311967
"old","cpi",0.0915208209980753,-0.0800430154005807,0.3325559379453
"popgrowth","cpi",0.24665174922842,-0.322794910231195,0.961422762705008
"immigrant","cpi",-0.0521046985435309,-0.341723252672876,0.142735244763539
"young","interestrate",0.102821176591309,-0.192286348158529,0.390878748351629
"mid","interestrate",-0.0895620947578229,-0.437287945125702,0.240839279526846
"old","interestrate",-0.026674340412059,-0.299710980401704,0.278892372342934
"popgrowth","interestrate",0.232424284648208,-0.581334647140841,1.18257634696787
"immigrant","interestrate",0.0134152585785728,-0.322764070491175,0.343412012847787
"young","unem",0.185923519882197,-0.0792238550071855,0.603984577038425
"mid","unem",-0.188494822723902,-0.683752278071916,0.194694195785707
"old","unem",0.152761632637635,-0.159204422622339,0.577389309153381
"popgrowth","unem",0.786829839318003,-0.379616982809276,2.3770917936543
"immigrant","unem",-0.15019032979593,-0.596819702364547,0.150417024716461
"young","savingrate",0.160966389939895,-1.36669636975153,1.14558121835807
"mid","savingrate",0.323190768749585,-0.831256273633925,1.93727108823582
"old","savingrate",0.314828144028638,-1.1396013222007,1.20479652365936
"popgrowth","savingrate",0.17692684335881,-2.60626534170535,4.44357245576531
"immigrant","savingrate",-0.798985302718119,-1.95622359535588,0.96431321385744
"young","inv",-0.0310169035968852,-0.760101652822526,0.451320960197654
"mid","inv",0.427691392157547,-0.146613262197965,1.14796696076754
"old","inv",-0.088124185871627,-0.761953466413499,0.359174496928275
"popgrowth","inv",0.283159739102052,-0.97225674928026,2.229185035126
"immigrant","inv",-0.308550302689035,-0.882593619393936,0.535871097244979
