"effect","variable","mean","lower","upper"
"young","gdp_p",0.0783757569513055,0.0210597954380992,0.137646027891065
"mid","gdp_p",0.0659227994205716,0.00169690816291063,0.127024641447063
"old","gdp_p",-0.11752940168247,-0.177878241076097,-0.0546385376177132
"popgrowth","gdp_p",-0.0198228814632597,-0.207053264772186,0.163615300688121
"immigrant","gdp_p",-0.0267691546894067,-0.0833702421662708,0.0280047188142349
"young","cpi",0.207892318848937,-0.0159165589657469,0.434102331932788
"mid","cpi",0.01100236357986,-0.210125775591803,0.221096377384779
"old","cpi",-0.15202693729241,-0.390194397565709,0.0805197170969217
"popgrowth","cpi",-0.0335533119920085,-0.577307031340009,0.523877987317616
"immigrant","cpi",-0.0668677451363878,-0.291701841255525,0.162229051786305
"young","interestrate",0.494808210003591,0.297757056339186,0.704842095419286
"mid","interestrate",-0.0604995494664372,-0.257036056998132,0.104967334002202
"old","interestrate",-0.164049484456767,-0.370304867329098,0.0498951709197258
"popgrowth","interestrate",0.0256525540547634,-0.383691064665899,0.445465202564422
"immigrant","interestrate",-0.270259176080387,-0.477865479071434,-0.0598436743535285
"young","unem",0.173914402679829,-0.176665663211846,0.581951450051175
"mid","unem",-0.232929886037028,-0.698628399769212,0.155843442044372
"old","unem",0.0707847418084843,-0.333051608770097,0.495002883928718
"popgrowth","unem",0.0162583369509865,-1.3122437466803,1.37370222381613
"immigrant","unem",-0.011769258451285,-0.375926815081647,0.356374826126422
"young","savingrate",-0.21599378027293,-0.583394859033298,0.155999345008676
"mid","savingrate",0.647446917621079,0.259117396157054,1.03756870723711
"old","savingrate",-0.277881900522284,-0.666588260475176,0.121152232515356
"popgrowth","savingrate",-0.202192102535092,-1.27450915824055,0.807048354171282
"immigrant","savingrate",-0.153571236825865,-0.528770853772804,0.196178206665341
"young","inv",0.0246355272221687,-0.241498825498162,0.335198210463509
"mid","inv",0.393857499946595,0.0759682952134914,0.667944413212474
"old","inv",-0.241341871854582,-0.523714843763466,0.0671669547500111
"popgrowth","inv",0.157169614716143,-0.690962300762491,1.00848603363661
"immigrant","inv",-0.177151155314181,-0.467211912541232,0.0851931291576022
