Country.ID,INDICATOR,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GRC,interestrate,23.3,28.6,28.7,19.9,17.5,16.40414607,13.78157091,12.88378603,13.91549525,10.31317284,7.884647718,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
IRL,interestrate,11.30666667,10.4275,14.31833333,9.119166667,5.93,6.2475,5.418333333,6.091666667,5.425833333,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
ISL,interestrate,14.83333333,14.64166667,10.4975,8.783333333,4.891666667,7.004166667,6.991666667,7.066666667,7.457833333,9.334,11.21225,11.9875,8.974333333,5.349916667,6.288416667,9.35875,12.35416667,14.29066667,15.82383333,11.28166667,6.789166667,4.256666667,5.513333333,6.188333333,6.0525,5.891666667,6.279166667,5.063333333,4.7225,4.393333333,2.006666667,1.789166667,5.126666667,9.035,9.485
ISR,interestrate,,,11.87024122,11.0924571,12.80344853,14.70411217,15.666791,13.76988026,11.94114708,12.03709423,9.045343111,6.531512358,7.167583007,6.611959484,4.26229058,3.881250251,5.462432268,4.255371621,3.561983221,0.639403098,1.641669621,2.797905532,2.251856065,1.319207273,0.546534655,0.123024944,0.106432033,0.115292949,0.138578089,0.233698293,0.08395847,-0.007977717,1.032977935,4.371196135,4.310664538
ITA,interestrate,12.22985,12.20833333,14.01333333,10.19916667,8.5075,10.45666667,8.82,6.875833333,4.991666667,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
JPN,interestrate,7.718333333,7.384166667,4.4625,2.979166667,2.234166667,1.2325,0.587916667,0.597666667,0.717083333,0.245575,0.247325,0.121125,0.060258333,0.088333333,0.088333333,0.09,0.324675,0.745833333,0.846666667,0.578333333,0.383333333,0.332596667,0.327210833,0.236704167,0.204916667,0.169666667,0.073666667,0.059333333,0.072333333,0.031083333,-0.035416667,-0.0655,-0.0295,0.003833333,0.18575
KOR,interestrate,14.7,18.30083333,16.4125,12.96166667,13.2875,14.05416667,12.63416667,13.38166667,15.22,6.809166667,7.078333333,5.3175,4.805,4.305833333,3.7875,3.649166667,4.475833333,5.160833333,5.4875,2.628333333,2.671666667,3.4375,3.2975,2.7225,2.491666667,1.77,1.493333333,1.443333333,1.68,1.696666667,0.923333333,0.85,2.475,3.709166667,3.550833333
MEX,interestrate,29.23,19.95,22.76,14.68,16.96,46.54,26.97,22.29416667,27.14166667,24.62666667,17.23166667,13.42666667,8.45,7.164166667,7.4425,9.631666667,7.69,7.784166667,8.3525,5.929166667,5,4.855,4.806666667,4.285833333,3.525833333,3.3425,4.568333333,7.120833333,8.055833333,8.273333333,5.673333333,4.655833333,8.1925,11.4575,11.26833333
NLD,interestrate,8.6825,9.281666667,9.3525,6.854166667,5.176666667,4.3725,2.9975,3.334166667,3.455,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
NOR,interestrate,5.6,4.6,2.9,2.3,3.2,2.5,4.893333333,3.13,6.75,1.75,2.5,2.75,1.19,0.81,0.75,1.5,3.25,3.44,2.38,1,0.69,0.44,0.38,0.38,0.06,0.12,0.35,0.15,0.846,1.46,1.26,0.16,0.19,3.01,3.7
NZL,interestrate,13.8925,9.965833333,6.73,6.33,6.735,9.008333333,9.300833333,7.659166667,7.349166667,4.83,6.52,5.7425,5.666666667,5.423333333,6.129166667,7.111666667,7.545833333,8.333333333,8.021666667,3.035833333,3.000833333,2.8,2.671666667,2.656666667,3.424166667,3.240833333,2.33,1.9575,1.946666667,1.519166667,0.481666667,0.488333333,2.765833333,5.478333333,5.258333333
POL,interestrate,,,45.475,34.875,31.75666667,27.69,21.33333333,23.11,19.905,14.67833333,18.875,15.71583333,8.7725,5.688333333,6.243333333,5.198333333,4.200833333,4.769583333,6.349166667,4.339166667,3.931666667,4.578333333,4.874558333,2.975833333,2.489166667,1.738333333,1.701666667,1.729166667,1.710833333,1.7175,0.595,0.605,6.189166667,6.518333333,5.854166667
PRT,interestrate,16.9025,17.7375,16.70575,13.24508333,11.10666667,9.786666667,7.366666667,5.741666667,4.308333333,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
SGP,interestrate,5.63,4.63,2.88,2.31,3.19,4.25,2.5,3.13,6.75,1.75,2.5,2.75,1.19,0.81,0.75,1.5,2.647,3.28,1.57,0.41,0.2138,0.0798,0.0543,0.0576,0.064,0.121,0.3493,0.1478,0.8468,1.466,1.266,0.1662,0.1949,3.01,3.7
SWE,interestrate,13.6675,11.59333333,12.85833333,8.351666667,7.400833333,8.745833333,5.79,4.1075,4.1875,3.115,3.954166667,4.032727273,4.065833333,3.026666667,2.114166667,1.716666667,2.331666667,3.5525,3.905,0.398333333,0.504166667,1.6575,1.253333333,0.925833333,0.420833333,-0.289166667,-0.655,-0.695,-0.685833333,-0.419633333,-0.136838,-0.194335833,0.743717833,3.567463333,3.467893333
TUR,interestrate,41.33333333,47.75,48,48,63.25,52.41666667,50,58.5,67,66.41666667,60,60,56.66666667,50.33333333,40.08333333,28.91666667,23.33333333,26.83333333,25,19.66666667,14.91666667,14.25,16.20833333,11.22916667,10.14583333,9,8.979166667,8.75,14.4375,17.8125,11.125,15.75,14.33333333,20.20833333,48.66666667
TWN,interestrate,10.68,6.28,5.556,7.726,6.721,6.145,5.705,5.653,7.312,4.848,4.614,4.655,2.299,1.302,1.008,1.202,1.446,1.689,2.088,0.233,0.108,0.257,0.403,0.387,0.388,0.387,0.233,0.173,0.18,0.179,0.18,0.079,0.085,0.56,0.687
USA,interestrate,8.1475,5.835,3.681666667,3.174166667,4.629166667,5.916666667,5.39,5.615833333,5.466666667,5.33,6.455833333,3.686666667,1.725833333,1.150833333,1.563333333,3.511666667,5.153333333,5.268333333,2.965,0.555833333,0.311666667,0.303333333,0.2825,0.166666667,0.124166667,0.226666667,0.644166667,1.1525,2.188333333,2.2075,0.533636364,0.114166667,2.2275,5.1775,5.050833333
